geneSymbol,cellName,tissueType,cellType
MUM1,Cancer cell,Undefined,Cancer cell
MUC16,Malignant mesothelioma cell,Lung,Cancer cell
PDX1,PDX1+ pancreatic progenitor cell,Embryonic stem cell,Normal cell
ABCB1,Cancer stem cell,Undefined,Cancer cell
CD101,Regulatory T (Treg) cell,Peripheral blood,Normal cell
IL17A,T helper17 (Th17) cell,Peripheral blood,Normal cell
CDH3,Embryonic stem cell,Embryonic stem cell,Normal cell
IL2RB,Regulatory T (Treg) cell,Peripheral blood,Normal cell
MUC family,Epithelial cell,Mammary epithelium,Normal cell
EMCN,Endothelial cell,Undefined,Normal cell
CHAT,Cholinergic neuron,Spinal cord,Normal cell
SHMT2,Erythroid precursor,Bone marrow,Normal cell
FLT3,Endothelial progenitor cell,Bone marrow,Normal cell
KRT15,Limbal stem cell,Corneal epithelium,Normal cell
SOD2,Limbal stem cell,Corneal epithelium,Normal cell
MET,Cancer stem cell,Lung,Cancer cell
ICAM4,Monocyte,Blood,Normal cell
COX2,Monocyte,Blood,Normal cell
AMH,Sertoli cell,Testis,Normal cell
KRT18,Sertoli cell,Testis,Normal cell
EPO,Eosinophil,Sputum,Normal cell
LCN2,Neutrophil,Sputum,Normal cell
KRT20,Merkel cell,Hair follicle,Normal cell
DECR1,Interstitial cell,Dorsolateral prefrontal cortex,Normal cell
BDNF,Glutamatergic neuron,Dorsolateral prefrontal cortex,Normal cell
CAMK2A,Glutamatergic neuron,Dorsolateral prefrontal cortex,Normal cell
TBR1,Glutamatergic neuron,Dorsolateral prefrontal cortex,Normal cell
ITGAV,Mesenchymal stem cell,Periodontal ligament,Normal cell
SLITRK6,Neural stem cell,Brain,Normal cell
TLR4,Cancer stem cell,Undefined,Cancer cell
CD36,Preadipocyte,Adipose tissue,Normal cell
ADA,Regulatory T (Treg) cell,Undefined,Cancer cell
ALPG,Type II pneumocyte,Undefined,Normal cell
SLC23A2,Clara cell,Undefined,Normal cell
LRAT,Ito cell (hepatic stellate cell),Liver,Normal cell
HLA Class I,Liver stem cell,Fetal liver,Normal cell
HLA class II,Liver stem cell,Fetal liver,Normal cell
DNMT3B,Stem cell,Undefined,Cancer cell
GDF3,Stem cell,Undefined,Cancer cell
AIF1,Microglial cell,Optic nerve,Normal cell
ICAM2,B cell,Undefined,Cancer cell
BST1,B cell,Undefined,Cancer cell
BST2,B cell,Undefined,Cancer cell
ADGRE5,B cell,Undefined,Cancer cell
KRT3,Corneal epithelial stem cell,Eye,Normal cell
PIWIL2,Mesenchymal stem cell,Undefined,Normal cell
ZBTB16,Mesenchymal stem cell,Undefined,Normal cell
STRA8,Mesenchymal stem cell,Undefined,Normal cell
NKX2-5,Cardiovascular progenitor cell,Heart,Normal cell
CASR,Hematopoietic progenitor cell,Undefined,Normal cell
PGC,Type II pneumocyte,Lung,Normal cell
DCLK3,Neuron,Brain,Normal cell
PRG2,Eosinophil,Sinonasal mucosa,Normal cell
STAR,Leydig cell,Testis,Normal cell
UCHL1,Spermatogonial stem cell,Testis,Normal cell
CD55,Adipose-derived stem cell,Adipose tissue,Normal cell
FCRL3,Regulatory T (Treg) cell,Peripheral blood,Normal cell
TIGIT,Regulatory T (Treg) cell,Peripheral blood,Normal cell
CSF1R,Dendritic cell progenitor,Bone marrow,Normal cell
CSF2RA,Dendritic cell progenitor,Bone marrow,Normal cell
LMO2,Germinal center B cell,Lymphoid tissue,Normal cell
GPC4,Corneal endothelial cell,Eye,Normal cell
CXCL13,Follicular helper (Tfh) T cell,Lymph node,Normal cell
ICOS,Follicular helper (Tfh) T cell,Lymph node,Normal cell
IL6R,Monocyte,Peripheral blood,Normal cell
CD22,Monocyte,Peripheral blood,Normal cell
CXCR3,T helper1 (Th1) cell,Peripheral blood,Normal cell
CCR4,T helper2 (Th2) cell,Peripheral blood,Normal cell
PARP1,Cancer cell,Brain,Cancer cell
MPL,Migrating cancer stem cell,Liver,Cancer cell
L1TD1,Embryonic stem cell,Undefined,Normal cell
HSPA5,Cancer stem cell,Undefined,Cancer cell
LYVE1,Lymphatic endothelial cell,Ovary,Cancer cell
MUC1,Cancer stem cell,Bladder,Cancer cell
CXCR5,T helper cell,Tonsil,Normal cell
INS,Pancreatic ductal stem cell,Pancreas,Normal cell
GCG,Pancreatic ductal stem cell,Pancreas,Normal cell
S100A6,Basal cell,Prostate,Normal cell
macrophage galactose-type C-type lectin family,Macrophage,Undefined,Normal cell
