geneSymbol,cellName,tissueType,cellType
MGA,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
MMS22L,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
MNS1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
MORC1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
MORC2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
MOV10L1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
MPP2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
MPP6,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
MSH4,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
MSL3,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
MTDH,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
MTMR12,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
MTMR6,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
MTX2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
MXI1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
MYCBPAP,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
MYDGF,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
MYO3A,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
NAA35,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
NBPF10,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
NBPF8,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
NCAPH,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
NCOA5,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
NDUFB6,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
NEK4,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
NEK9,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
NF1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
NGLY1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
NHLRC3,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
NIPBL,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
NKAP,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
NKIRAS1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
NKTR,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
NOL8,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
NOTCH2NL,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
NSRP1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
NUDT21,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
NUFIP2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
NUP210,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
NUP210L,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
NUP214,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
OFD1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ORMDL1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
OSBPL11,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
OSBPL8,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
OTUD6A,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
OTULIN,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
OXCT1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
OXR1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
P4HA2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PAGE2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PAGE2B,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PAGE5,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PAIP1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PAK1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PAPOLG,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PARD6B,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PARP6,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PATE2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PAWR,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PAX9,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PCID2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PDCD4,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PDE6D,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PDHA1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PDIK1L,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PDPK1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PEG3,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PEX3,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PFN4,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PHF21A,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PHF7,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PHF8,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PHKB,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PHLPP1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PHLPP2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PHOSPHO2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PI4KA,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PIGP,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PIK3R3,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PIP5K1A,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PJA2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PLEKHA3,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PNPLA4,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PNRC1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
POLI,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
POLK,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
POLN,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
POMT1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
POT1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PPM1F,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PPP1R13B,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PPP1R2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PPP2R3C,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PPP4R4,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PRAME,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PRDM9,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PRIM1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PRKACB,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PRPF18,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PRPF39,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PRPF40A,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PRSS21,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PSMA8,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PSMD10,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PTPDC1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PTPMT1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PXT1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
PYCR2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RAB28,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RAB3IP,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RAB41,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RAB5B,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RABGAP1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RAD17,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RAD21L1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RAD51AP2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RAD9B,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RAE1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RALGPS2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RANBP17,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RANBP6,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RASA2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RAVER2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RBBP8,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RBL2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RBM15,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RBM27,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RBM44,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RBM46,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RBM4B,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RCN2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
REC114,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RHOXF1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RIC8A,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RICTOR,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RNASEH2B,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RNF103,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RNF138,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RNF167,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RNF182,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RNF19B,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RNF212,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RNF212B,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RNF32,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RNF6,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RNFT1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ROCK2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RP2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RPA4,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RPS6KA3,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RPS6KA6,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RTCA,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RUNDC3B,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
RWDD2B,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
S100PBP,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SAP30,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SCAF4,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SCEL,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SCML1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SCRN3,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SEC11A,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SEC24A,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SEC24B,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SENP1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SENP6,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SETD9,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SH3GL1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SH3RF1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SHCBP1L,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SIMC1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SKAP1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SKIDA1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SLC25A31,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SLC25A4,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SLC26A7,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SLC35F5,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SLC35G2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SLC39A6,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SLC4A1AP,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SLC9A6,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SLC9B1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SLCO6A1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SLMAP,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SMDT1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SMIM14,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SNAP91,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SNTB2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SNX16,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SOCS7,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SOHLH1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SOS2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SOX30,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SPATA22,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SPCS1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SPDL1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SPDYA,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SPESP1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SPO11,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SPOPL,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SRP9,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SRR,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
STARD6,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
STAU1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
STK17B,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
STK31,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
STRADB,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
STRIP2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
STT3A,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
STX18,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SUCO,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SWT1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SYCE1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SYCE2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SYCP1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SYCP2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SYDE2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
SYNGR4,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TAF12,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TANK,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TAOK1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TAPT1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TBC1D19,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TBC1D28,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TBCCD1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TBP,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TCEAL1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TCEAL3,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TCP11,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TDRD5,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TDRD6,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TDRD9,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TERF1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TEX12,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TEX14,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TEX15,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TEX30,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
THAP10,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
THAP2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TIGD6,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TIPARP,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TM2D1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TM2D3,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TMCO1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TMED2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TMEM108,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TMEM116,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TMEM175,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TMEM263,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TMEM42,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TMEM64,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TMEM70,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TMEM80,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TMF1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TMX4,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TNFAIP8L3,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TOPAZ1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TP53TG3D,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TPTE,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TRAF3IP1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TRAPPC6B,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TRAPPC8,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TRIM23,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TRIM4,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TRIM44,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TRIM54,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TRIP12,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TRMT1L,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TSC22D2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TSPYL6,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TUBA3C,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TUBA3E,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TUBE1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TUBGCP3,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
TXLNA,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
UAP1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
UBA6,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
UBE2B,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
UBE2D4,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
UBE2E3,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
UBE2F,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
UBE2Q1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
UBE2W,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
UBE3A,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
UBLCP1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
UCHL5,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
UFL1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
UIMC1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ULK2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
UNC50,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
UPB1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
URGCP,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
URI1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
USP20,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
USP37,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
USP42,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
USP47,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
USP6,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
USP9X,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
VAPA,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
VCX,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
VCX2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
VCX3A,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
VCX3B,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
VPS26A,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
VPS29,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
VPS35,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
VPS37A,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
VPS45,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
VRK1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
WASF1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
WDR11,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
WDR3,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
WDR31,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
WDR47,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
WDSUB1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
WNK1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
XK,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
XKR9,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
YEATS4,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
YTHDC2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
YTHDF2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
YY2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZBTB11,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZBTB18,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZC3H11A,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZCCHC17,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZCCHC7,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZCCHC9,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZCWPW2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZDHHC13,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZDHHC17,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZDHHC4,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZER1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZFC3H1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZFP91,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZFR,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZHX1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZIC4,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZKSCAN2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZMAT1,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZMYM2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZNF131,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZNF136,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZNF185,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZNF280B,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZNF318,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZNF346,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZNF43,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZNF433,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZNF473,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZNF541,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZNF595,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZNF620,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZNF622,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZNF652,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZNF664,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZNF681,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZNF711,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZNF76,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZNF800,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZNF92,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZPBP,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZPBP2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ZRANB2,Meiotic prophase fetal germ cell,Fetal gonad,Normal cell
ABCB4,Oogenesis phase fetal germ cell,Fetal gonad,Normal cell
ABCC1,Oogenesis phase fetal germ cell,Fetal gonad,Normal cell
ABCC4,Oogenesis phase fetal germ cell,Fetal gonad,Normal cell
ABHD2,Oogenesis phase fetal germ cell,Fetal gonad,Normal cell
ABLIM2,Oogenesis phase fetal germ cell,Fetal gonad,Normal cell
ACAT1,Oogenesis phase fetal germ cell,Fetal gonad,Normal cell
ACE2,Oogenesis phase fetal germ cell,Fetal gonad,Normal cell
ACO1,Oogenesis phase fetal germ cell,Fetal gonad,Normal cell
ACOT2,Oogenesis phase fetal germ cell,Fetal gonad,Normal cell
ACOT4,Oogenesis phase fetal germ cell,Fetal gonad,Normal cell
ACTL8,Oogenesis phase fetal germ cell,Fetal gonad,Normal cell
ACYP2,Oogenesis phase fetal germ cell,Fetal gonad,Normal cell
ADAMTS17,Oogenesis phase fetal germ cell,Fetal gonad,Normal cell
ADARB2,Oogenesis phase fetal germ cell,Fetal gonad,Normal cell
ADCY5,Oogenesis phase fetal germ cell,Fetal gonad,Normal cell
AFF1,Oogenesis phase fetal germ cell,Fetal gonad,Normal cell
AGO2,Oogenesis phase fetal germ cell,Fetal gonad,Normal cell
AGTRAP,Oogenesis phase fetal germ cell,Fetal gonad,Normal cell
AKT3,Oogenesis phase fetal germ cell,Fetal gonad,Normal cell
ALDH5A1,Oogenesis phase fetal germ cell,Fetal gonad,Normal cell
ALKBH2,Oogenesis phase fetal germ cell,Fetal gonad,Normal cell
AMOT,Oogenesis phase fetal germ cell,Fetal gonad,Normal cell
ANK3,Oogenesis phase fetal germ cell,Fetal gonad,Normal cell
